scorer,meeting_number,SPEAKER_00,SPEAKER_01,SPEAKER_02,SPEAKER_03,SPEAKER_04
3,1,3,2,2,7,2
3,2,6,4,3,7,3
3,3,4,5,5,6,5
3,4,2,2,2,5,2
3,5,5,4,4,8,5
3,6,3,5,4,7,5
3,7,4,5,3,8,6
3,8,6,6,3,9,8
3,9,7,6,3,10,8
3,10,6,5,4,9,7
3,11,8,6,6,10,8
3,12,6,3,4,8,5
3,13,7,2,6,9,8
3,14,3,1,3,7,6
3,15,2,2,3,8,6
3,16,9,8,8,10,9
3,17,7,7,8,10,9
3,18,9,8,8,10,9
3,19,7,5,2,8,-1
3,20,9,8,6,10,-1
3,21,8,8,7,10,-1
3,22,9,8,6,10,-1
