scorer,meeting_number,SPEAKER_00,SPEAKER_01,SPEAKER_02,SPEAKER_03,SPEAKER_04
4,1,4,3,3,5,3
4,2,4,3,3,6,3
4,3,4,4,4,6,4
4,4,5,3,3,7,4
4,5,6,5,4,7,5
4,6,6,5,5,8,5
4,7,4,6,5,8,2
4,8,8,7,6,8,7
4,9,8,7,6,9,7
4,10,9,6,6,9,7
4,11,9,8,8,9,8
4,12,8,6,6,9,6
4,13,9,8,8,10,8
4,14,8,7,8,10,7
4,15,6,6,6,10,6
4,16,10,10,10,10,10
4,17,9,10,9,10,9
4,18,10,10,10,10,10
4,19,-1,-1,-1,-1,-1
