id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,overall_collaboration_score,individual_collaboration_score
3_0_SPEAKER_00,3,1,0,22,8731,98,0.2244897959183673,0,0,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,2,1,1,0.0,0.0277777777777777,0.0134843037051064,0.0439801820137006,-1.0,-1.0
3_0_SPEAKER_00,3,1,0,22,8731,98,0.2244897959183673,0,1,1,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,2,1,1,0.0,0.0277777777777777,0.0134843037051064,0.0439801820137006,-1.0,-1.0
3_0_SPEAKER_00,3,1,0,22,8731,98,0.2244897959183673,0,2,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,2,1,1,0.0,0.0277777777777777,0.0134843037051064,0.0439801820137006,-1.0,-1.0
3_0_SPEAKER_00,3,1,0,22,8731,98,0.2244897959183673,0,3,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,2,1,1,0.0,0.0277777777777777,0.0134843037051064,0.0439801820137006,-1.0,-1.0
3_0_SPEAKER_01,3,1,1,645,8731,98,6.581632653061225,1,0,1,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,87,43,44,0.6666666666666666,0.0283018867924528,0.6329854261349638,0.3354459208754061,-1.0,-1.0
3_0_SPEAKER_01,3,1,1,645,8731,98,6.581632653061225,1,1,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,87,43,44,0.6666666666666666,0.0283018867924528,0.6329854261349638,0.3354459208754061,-1.0,-1.0
3_0_SPEAKER_01,3,1,1,645,8731,98,6.581632653061225,1,2,1,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,87,43,44,0.6666666666666666,0.0283018867924528,0.6329854261349638,0.3354459208754061,-1.0,-1.0
3_0_SPEAKER_01,3,1,1,645,8731,98,6.581632653061225,1,3,42,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,87,43,44,0.6666666666666666,0.0283018867924528,0.6329854261349638,0.3354459208754061,-1.0,-1.0
3_0_SPEAKER_02,3,1,2,345,8731,98,3.520408163265306,2,0,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,42,21,21,0.3333333333333333,0.1304347826086956,0.3147691490972661,0.1680576784494523,-1.0,-1.0
3_0_SPEAKER_02,3,1,2,345,8731,98,3.520408163265306,2,1,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,42,21,21,0.3333333333333333,0.1304347826086956,0.3147691490972661,0.1680576784494523,-1.0,-1.0
3_0_SPEAKER_02,3,1,2,345,8731,98,3.520408163265306,2,2,0,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,42,21,21,0.3333333333333333,0.1304347826086956,0.3147691490972661,0.1680576784494523,-1.0,-1.0
3_0_SPEAKER_02,3,1,2,345,8731,98,3.520408163265306,2,3,21,0.5833333333333334,10.666666666666666,0.4023437487426757,0.2795536322875935,42,21,21,0.3333333333333333,0.1304347826086956,0.3147691490972661,0.1680576784494523,-1.0,-1.0
