id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
3_1_SPEAKER_02,3,2,2,532,7910,93,5.720430107526882,2,0,0,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,118,0.0,0.021897810218978103,0.09216603141018088
3_1_SPEAKER_02,3,2,2,532,7910,93,5.720430107526882,2,1,0,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,118,0.0,0.021897810218978103,0.09216603141018088
3_1_SPEAKER_02,3,2,2,532,7910,93,5.720430107526882,2,2,14,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,118,0.0,0.021897810218978103,0.09216603141018088
3_1_SPEAKER_02,3,2,2,532,7910,93,5.720430107526882,2,3,45,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,118,0.0,0.021897810218978103,0.09216603141018088
3_1_SPEAKER_03,3,2,3,7373,7910,93,79.27956989247312,3,0,1,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,1086,1.0,0.06382978723404255,0.9957396728264507
3_1_SPEAKER_03,3,2,3,7373,7910,93,79.27956989247312,3,1,1,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,1086,1.0,0.06382978723404255,0.9957396728264507
3_1_SPEAKER_03,3,2,3,7373,7910,93,79.27956989247312,3,2,45,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,1086,1.0,0.06382978723404255,0.9957396728264507
3_1_SPEAKER_03,3,2,3,7373,7910,93,79.27956989247312,3,3,496,0.5,50.333333333333336,0.6970198670880663,-0.5069972607231326,1086,1.0,0.06382978723404255,0.9957396728264507
3_2_SPEAKER_00,3,3,0,1,6431,68,0.014705882352941176,0,0,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,2,0.0,0.05084745762711865,0.005095363820569894
3_2_SPEAKER_00,3,3,0,1,6431,68,0.014705882352941176,0,1,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,2,0.0,0.05084745762711865,0.005095363820569894
3_2_SPEAKER_00,3,3,0,1,6431,68,0.014705882352941176,0,2,1,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,2,0.0,0.05084745762711865,0.005095363820569894
3_2_SPEAKER_00,3,3,0,1,6431,68,0.014705882352941176,0,3,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,2,0.0,0.05084745762711865,0.005095363820569894
3_2_SPEAKER_01,3,3,1,241,6431,68,3.5441176470588234,1,0,1,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,34,0.5,0.03125,0.2792633234734585
3_2_SPEAKER_01,3,3,1,241,6431,68,3.5441176470588234,1,1,0,0.5833333333333334,9.916666666666666,0.5021008386484005,0.009293947860598117,34,0.5,0.03125,0.2792633234734585
