scorer,meeting_number,SPEAKER_00,SPEAKER_01,SPEAKER_02,SPEAKER_03,SPEAKER_04
0,1,4,3,3,6,3
0,2,3,4,3,6,4
0,3,3,4,4,7,4
0,4,4,3,3,7,4
0,5,5,5,5,7,5
0,6,3,4,4,7,5
0,7,3,5,5,8,3
0,8,5,6,6,8,6
0,9,7,7,6,9,7
0,10,6,6,5,8,6
0,11,7,6,7,8,7
0,12,6,5,6,8,5
0,13,6,5,6,8,6
0,14,5,5,7,8,7
0,15,4,5,5,7,5
0,16,7,6,7,9,7
0,17,8,8,8,9,8
0,18,7,8,8,9,8
0,19,8,7,6,8,-1
0,20,7,6,5,8,-1
0,21,5,6,6,7,-1
0,22,8,8,7,9,-1
